unique_id,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS
hotel_0,bias,0.08201058201058199,0.029805996472663125,-0.0073840463803174885,0.052846699823221224,0.024600120478508437,-0.10721816081796794,-0.09247301584618851
hotel_0,mae,0.1947089947089947,0.21428571428571425,0.18431418789291926,0.16415175074771807,0.140418607653226,0.1082174491919117,0.1103934482712384
hotel_0,mape,0.34109032172192555,0.3541912145633045,0.297295999738063,0.28300752470015733,0.240907336057225,0.14367751888412503,0.14542468590345697
hotel_0,rmse,0.23822556215497825,0.2527854649096398,0.21609756844663036,0.19558561117818835,0.17045050334584544,0.1335032853539008,0.13050019420342326
hotel_105,bias,0.05318957771787962,-0.0738544474393531,-0.06242746666528178,-0.0609425398616936,-0.057966637845325075,-0.06763038043223944,-0.07284618705270104
hotel_105,mae,0.12003593890386344,0.10530098831985624,0.10214192290978037,0.0983935637413111,0.10283284319755122,0.07305271915509051,0.07453936543265442
hotel_105,mape,0.16684634338392626,0.1221077170985384,0.11932141359835342,0.11705827328784531,0.12142207623075414,0.0730495750154253,0.07420444972977024
hotel_105,rmse,0.1444356785701646,0.13175294360819984,0.1284798290805862,0.11704465849795798,0.12742475741151826,0.09009574579595535,0.08554008800966652
hotel_112,bias,-0.06464285714285713,-0.01642857142857144,-0.036696533630481705,-0.015855824320654605,-0.05873866231908233,0.022690819842474782,0.05113801360130309
hotel_112,mae,0.14125000000000001,0.11357142857142857,0.10576777422269998,0.09066279331543797,0.11178976789830344,0.08778492041996547,0.09736460021563939
hotel_112,mape,0.162639749521374,0.13375194366081616,0.12247717554135953,0.10677083870654862,0.12864195978780626,0.10537042189182874,0.11908346954704689
hotel_112,rmse,0.16562101684742805,0.1391829468623606,0.1255994747773856,0.10638195032307991,0.13254675085961504,0.09933331462927283,0.11194481838773436
hotel_126,bias,0.0095617529880478,-0.0004553215708594224,-0.03734164693475655,-0.0031154893454281444,-0.046256649976284626,-0.009073061644861356,-0.009575720386676105
hotel_126,mae,0.03551508252703472,0.046215139442231074,0.061687988900823144,0.046028651042030605,0.06864531509144396,0.01728062955879934,0.015770535248209278
hotel_126,mape,0.041660529942726794,0.05313653301037442,0.06609077160206464,0.051166768490911084,0.07305209853081598,0.01738159161288368,0.01585921896905077
hotel_126,rmse,0.04912612360746021,0.0714303995979512,0.07491466132489293,0.05816345596567981,0.08253866561942974,0.021054358808027033,0.021034514303944235
hotel_133,bias,0.01451990632318501,-0.017798594847775167,-0.030077199593707294,-0.038196034085641165,-0.012234452186968614,-0.01714038807000153,-0.03262253063763611
hotel_133,mae,0.10749414519906324,0.1072599531615925,0.10018135834563965,0.11203127351753565,0.09843868346466376,0.05769319019217123,0.06783843790758969
hotel_133,mape,0.13583397063031105,0.1366798391343051,0.12115928958290734,0.1382109815868941,0.12749774376435846,0.06179641938495673,0.07207200394092758
hotel_133,rmse,0.13483065977969913,0.13622438881335597,0.11858757582563864,0.1321631562549232,0.11903031420730507,0.07013329135721665,0.08096953712189114
hotel_14,bias,0.05026954177897576,-0.0012129380053908345,0.003294282277537794,0.011077309805337781,0.02707818392172238,-0.03653633273194098,-0.05582272685120367
hotel_14,mae,0.15026954177897575,0.11859838274932614,0.11228648850223126,0.10277223378965698,0.08844018784186418,0.1027168268463361,0.0992137610591004
hotel_14,mape,0.24213389511551667,0.18367868999486409,0.17472352649321873,0.1641826081164584,0.14177227212761376,0.1636574030613764,0.15392633461671607
hotel_14,rmse,0.17723127702737504,0.14938432032386867,0.13667059720960706,0.12597842381505583,0.11345219911752302,0.1216343532011645,0.12509184227366618
hotel_21,bias,0.017691798941798932,-0.015906084656084663,0.008787268385847662,-0.009930523343339187,-0.02201670213321329,-0.02601977063234521,-0.017229037073554186
hotel_21,mae,0.02999338624338623,0.0462632275132275,0.03168280298302324,0.04086828314949596,0.03979830489264412,0.037037181318121615,0.03197630128217123
hotel_21,mape,0.03350900159664464,0.04870432115496731,0.034736799592919414,0.043844847785482435,0.041957205124339904,0.037863797601500146,0.03281700337548134
hotel_21,rmse,0.04424496543893337,0.0668102288791601,0.043454492075509374,0.051996380945794306,0.04959440589372098,0.04575600191156299,0.04239515137333082
hotel_28,bias,-0.008809523809523809,-0.008809523809523809,-0.002487533330560389,-0.009464647675001743,-0.0059964712856050316,-0.044501288156468595,-0.04417802835260296
hotel_28,mae,0.008809523809523809,0.008809523809523809,0.017970257922602335,0.00956870432658093,0.012398425855487252,0.04479147669570964,0.04427416818327314
hotel_28,mape,1.0,1.0,1.017069378006172,1.022765089205592,0.7715313075615042,1.1641872182726587,1.1181699413261865
hotel_28,rmse,0.029035877791236266,0.029035877791236266,0.03993012754403058,0.02974881219413939,0.03212587395014302,0.1423884450526274,0.1416673203635888
hotel_35,bias,-0.13916015625,-0.08162667410714286,-0.10762423083841928,-0.1699547086869798,-0.014714396023507232,-0.06414153746196202,-0.0624679582459586
hotel_35,mae,0.16647600446428573,0.16823381696428572,0.14736497033170434,0.1850359194924023,0.10313247070799644,0.09418182287897382,0.09246675031525749
hotel_35,mape,0.22117279318021604,0.23742467823317703,0.1989453893850444,0.24234280982295636,0.1521752015051159,0.12453931042911139,0.12241249712540915
hotel_35,rmse,0.19080251954139588,0.19467203314549014,0.17093729826425902,0.21356934021726434,0.1302442635816304,0.11748338581746165,0.11499965133148066
hotel_42,bias,-0.11200115673799885,-0.057865818392134186,-0.13771824474278344,-0.043282083428451086,-0.004603396502943788,-0.15009401392185184,-0.0838912350204792
hotel_42,mae,0.2825621746674378,0.29170040485829957,0.2709041382417695,0.22107102566900952,0.19564674242296293,0.17178151219169688,0.14569250247325422
hotel_42,mape,0.4805921362094948,0.5240136821985307,0.4429062776712702,0.4195236462901521,0.3855528587502616,0.22017921879481664,0.2102700918834122
hotel_42,rmse,0.3407715085866512,0.3517094296852316,0.3233582694221783,0.2563776107214387,0.23019234984554923,0.20784841837641796,0.17554459004366943
hotel_49,bias,0.08197130380536496,0.0464129756706176,0.0353983426659382,0.055329130426660746,0.058248452263451635,-0.018260061201719077,-0.02846828262023605
hotel_49,mae,0.09831565814098567,0.09320024953212727,0.07828940220367667,0.07983929005170008,0.08198163553776044,0.04120073856522125,0.04390614182779511
hotel_49,mape,0.1464569901400939,0.136132572972165,0.11344632101313772,0.11923679998426626,0.1181552178239526,0.0613671643866393,0.06491580557255368
hotel_49,rmse,0.11375486716191956,0.11073021476642306,0.092942559173194,0.09403635359748357,0.09788090938226093,0.05187041414160345,0.05409192658632376
hotel_56,bias,0.017797619047619055,-0.003630952380952378,-0.01266627970148968,-0.012868217162626566,-0.02074753539531256,-0.04382281927835373,-0.049832994029635466
hotel_56,mae,0.06089285714285715,0.06244047619047619,0.06493355105470357,0.06565301706574105,0.06499193214978678,0.06092256364368256,0.06785043563161576
hotel_56,mape,0.07282582397244969,0.07173466463619838,0.07301679970631895,0.07472729704951213,0.07341264130217755,0.06404468665115619,0.07124884665279306
hotel_56,rmse,0.08519313421915463,0.09265269293789506,0.08156305107470288,0.07844014824803014,0.08512076693625809,0.07568230653499712,0.08054244602026431
hotel_63,bias,0.10285714285714287,-0.028063492063492068,-0.01240943902371155,0.0005058784844907682,-0.0046571185886059,-0.04171433743976411,-0.03927695237454914
hotel_63,mae,0.1737142857142857,0.17936507936507934,0.14186446619271958,0.15266249395494896,0.13433597960254845,0.09166809929741752,0.0990330330436192
hotel_63,mape,0.3029948525555046,0.2686636940769015,0.21643517612442528,0.24169499567264346,0.2085603790874461,0.12078451935168492,0.1315066682982111
hotel_63,rmse,0.2230392914391699,0.22296696903706742,0.17037217807604704,0.1793577392465696,0.16774355914494543,0.11351783007095641,0.11433333043270864
hotel_7,bias,0.15774778966961378,0.04416007445323407,0.04591221250189721,0.007577630711690616,0.07195583441930863,0.16361173495768172,0.16847233834129094
hotel_7,mae,0.18206142391810146,0.1419962773382969,0.13728291703320739,0.12256775441986709,0.15187232067465814,0.1642707509667777,0.1711006499601553
hotel_7,mape,0.5059417706363588,0.3458506950949234,0.34681024284118755,0.29888291616298457,0.39686148765146706,0.41773658112346623,0.43064664065480507
hotel_7,rmse,0.21834074033842085,0.16936106174014895,0.15770596547851895,0.13987662825771033,0.1822884559169638,0.20664012284717234,0.2102022544377417
hotel_70,bias,-0.01447368421052633,-0.052944862155388475,-0.08645781751010878,-0.038468428315819085,-0.027273524943720585,-0.18965341344961248,-0.18879222106141855
hotel_70,mae,0.06466165413533835,0.10983709273182955,0.09423327262166989,0.07459188250318866,0.07596769020180645,0.18965341344961248,0.18879222106141855
hotel_70,mape,0.16453156051306186,0.264936954149954,0.21642946845878033,0.1810223939732417,0.18058765403328497,0.2931284737830824,0.2906433502594627
hotel_70,rmse,0.08171820340463795,0.13076322360421855,0.11683966227627755,0.09190804706944052,0.09083311085199972,0.2079341576170304,0.20824801744044505
hotel_77,bias,0.0014812955059000756,2.5106703489831838e-05,0.002760173353422884,0.0018049724344968749,0.0028134211232099687,-0.0006764807538794619,-0.0007889869323532496
hotel_77,mae,0.0025608837559628426,0.0014812955059000754,0.005275033614770956,0.00309074424068611,0.006308257244635523,0.0013485199971390621,0.0011319495305152877
hotel_77,mape,1.671794871794872,1.0662393162393162,2.8833264228791933,1.6106567893413097,1.9035718924177887,,
hotel_77,rmse,0.002917903147308702,0.0021162786967230222,0.005959729749029396,0.0035010191736333405,0.0075430261525076345,0.001619216924698043,0.0015106701938099084
hotel_84,bias,0.04819574888779042,-0.031389026198714774,-0.06113609173793251,-0.04659582385128331,-0.056908389769911714,-0.05950986830037947,-0.04759072961338192
hotel_84,mae,0.15165595650024716,0.15748887790410282,0.14139363924469425,0.13423770580488908,0.13036650032262467,0.11102098267059543,0.1033534773552235
hotel_84,mape,0.2564336871028981,0.22924480200462538,0.20467176432577197,0.1963893273594169,0.18379813146125137,0.12715858863773571,0.11951667288370157
hotel_84,rmse,0.18895388835996668,0.1956486342576835,0.16933276054220708,0.15953319023665877,0.16088548440610895,0.12732777313465898,0.11683256251738176
hotel_91,bias,0.014767255216693443,-0.02792937399678972,0.002729253473557222,-0.03072669606964438,-0.04465311828257571,0.01942012201916923,0.03769857605043231
hotel_91,mae,0.15955056179775282,0.19357945425361156,0.1427416530406482,0.15093557377541195,0.15483391517608774,0.05806837868346066,0.059623529832588916
hotel_91,mape,0.22878634193261127,0.25258968497667117,0.19914198761550023,0.20534054774384383,0.20187028613286456,0.06724076387985818,0.07047373214650823
hotel_91,rmse,0.20362558271005557,0.24204553217397642,0.1740022376813499,0.17698655145800618,0.17930351290825683,0.0702976521782903,0.07490643263793088
hotel_98,bias,0.0630184331797235,-0.00864055299539171,-0.01776256134815061,-0.022918685309188544,0.03920399658232103,-0.03256145050139746,-0.02028262731941065
hotel_98,mae,0.1846774193548387,0.14769585253456222,0.15439095696346547,0.11302399359000206,0.13827281610590897,0.07598608121928256,0.07699816507471871
hotel_98,mape,1.0856597206679584,0.6983018434199327,0.7414850622154509,0.5410606666177974,0.8661671280304282,0.49627100733262614,0.5228723559385295
hotel_98,rmse,0.2119337125674036,0.19333703524007356,0.1807178911524264,0.1439020350366276,0.15787094624280645,0.11326371812373283,0.1102007991398452
